Insurer,Procedure/Service,Procedure/Service Description,Original Effective Date,Revised,Procedure CPT/HCPCS Code,Prior authorization
Ohio Medicaid,,,"Jan. 1, 2024",,L5270,
Ohio Medicaid,,,"Jan. 1, 2024",,L5321,
Ohio Medicaid,,,"Jan. 1, 2024",,L5420,
Ohio Medicaid,,,"Jan. 1, 2024",,L5510,
Ohio Medicaid,,,"Jan. 1, 2024",,L5540,
Ohio Medicaid,,,"Jan. 1, 2024",,L5585,
Ohio Medicaid,,,"Jan. 1, 2024",,L5610,
Ohio Medicaid,,,"Jan. 1, 2024",,L5639,
Ohio Medicaid,,,"Jan. 1, 2024",,L5644,
Ohio Medicaid,,,"Jan. 1, 2024",,L5649,
Ohio Medicaid,,,"Jan. 1, 2024",,L5673,
Ohio Medicaid,,,"Jan. 1, 2024",,L5982,
Ohio Medicaid,,,"Jan. 1, 2024",,L5988,
Ohio Medicaid,,,"Jan. 1, 2024",,L6010,
Ohio Medicaid,,,"Jan. 1, 2024",,L6100,
Ohio Medicaid,,,"Jan. 1, 2024",,L6200,
Ohio Medicaid,,,"Jan. 1, 2024",,L6310,
Ohio Medicaid,,,"Jan. 1, 2024",,L6370,
Ohio Medicaid,,,"Jan. 1, 2024",,L6400,
Ohio Medicaid,,,"Jan. 1, 2024",,L6570,
Ohio Medicaid,,,"Jan. 1, 2024",,L6586,
Ohio Medicaid,,,"Jan. 1, 2024",,L6623,
Ohio Medicaid,,,"Jan. 1, 2024",,L6686,
Ohio Medicaid,,,"Jan. 1, 2024",,L6692,
Ohio Medicaid,,,"Jan. 1, 2024",,L6696,
Ohio Medicaid,,,"Jan. 1, 2024",,L6708,
Ohio Medicaid,,,"Jan. 1, 2024",,L6713,
Ohio Medicaid,,,"Jan. 1, 2024",,L6881,
Ohio Medicaid,,,"Jan. 1, 2024",,L6885,
Ohio Medicaid,,,"Jan. 1, 2024",,L6910,
Ohio Medicaid,,,"Jan. 1, 2024",,L6930,
Ohio Medicaid,,,"Jan. 1, 2024",,L6950,
Ohio Medicaid,,,"Jan. 1, 2024",,L6970,
Ohio Medicaid,,,"Jan. 1, 2024",,L7009,
Ohio Medicaid,,,"Jan. 1, 2024",,L7180,
Ohio Medicaid,,,"Jan. 1, 2024",,L7190,
Ohio Medicaid,,,"Jan. 1, 2024",,L8042,
Ohio Medicaid,,,"Jan. 1, 2024",,L8046,
Ohio Medicaid,,,"Jan. 1, 2024",,L8610,
Ohio Medicaid,,,"Jan. 1, 2024",,97530,Prior authorization required
Ohio Medicaid,ually unproven,,"Jan. 1, 2024",,33289,Prior authorization required
Ohio Medicaid,ate duty nursing,,"Jan. 1, 2024",,T1000,Prior authorization required
Ohio Medicaid,state procedures,,"Jan. 1, 2024",,37243,Prior authorization required
Ohio Medicaid,,,"Jan. 1, 2024",,,
Ohio Medicaid,,,"Jan. 1, 2024",,29825,
Ohio Medicaid,nuplasty te of service (SOS) -— — utpatient hospital,,"Jan. 1, 2024",,31295,Prior authorization required
Ohio Medicaid,,,"Jan. 1, 2024",,Auditory system,Prior authorization is only
Ohio Medicaid,,,"Jan. 1, 2024",,69205,required when requesting service in an outpatient hospital setting.
Ohio Medicaid,,,"Jan. 1, 2024",,Cardiovascular system,
Ohio Medicaid,,,"Jan. 1, 2024",,36590,Prior authorization is not
Ohio Medicaid,,,"Jan. 1, 2024",,64721,rerticipating ASC.
Ohio Medicaid,,,"Jan. 1, 2024",,Cataract surgery 66821 66982,
Ohio Medicaid,,,"Jan. 1, 2024",,,
Ohio Medicaid,,,"Jan. 1, 2024",,Colonoscopy,
Ohio Medicaid,,,"Jan. 1, 2024",,,45378 45380 45384 45385
Ohio Medicaid,,,"Jan. 1, 2024",,Cosmetic,
Ohio Medicaid,,,"Jan. 1, 2024",,13101,
Ohio Medicaid,,,"Jan. 1, 2024",,14301,
Ohio Medicaid,,,"Jan. 1, 2024",,Digestive system,
Ohio Medicaid,,,"Jan. 1, 2024",,42415,
Ohio Medicaid,,,"Jan. 1, 2024",,43237,
Ohio Medicaid,,,"Jan. 1, 2024",,43246,
Ohio Medicaid,,,"Jan. 1, 2024",,43254,
Ohio Medicaid,,,"Jan. 1, 2024",,44361,
Ohio Medicaid,,,"Jan. 1, 2024",,45381,
Ohio Medicaid,,,"Jan. 1, 2024",,46040,
Ohio Medicaid,,,"Jan. 1, 2024",,46221,
Ohio Medicaid,,,"Jan. 1, 2024",,46270,
Ohio Medicaid,,,"Jan. 1, 2024",,46750,
Ohio Medicaid,,,"Jan. 1, 2024",,"Ear, nose and throat (ENT) procedures",
Ohio Medicaid,,,"Jan. 1, 2024",,66711,
Ohio Medicaid,,,"Jan. 1, 2024",,66988,
Ohio Medicaid,,,"Jan. 1, 2024",,67105,
Ohio Medicaid,,,"Jan. 1, 2024",,68110 68115,
Ohio Medicaid,,,"Jan. 1, 2024",,68815,
Ohio Medicaid,,,"Jan. 1, 2024",,57240 57250 57461,
Ohio Medicaid,,,"Jan. 1, 2024",,58561,
Ohio Medicaid,,,"Jan. 1, 2024",,Gynecologic procedures,
Ohio Medicaid,,,"Jan. 1, 2024",,57522,
Ohio Medicaid,,,"Jan. 1, 2024",,58565,
Ohio Medicaid,,,"Jan. 1, 2024",,Hemic and lymphatic systems,
Ohio Medicaid,,,"Jan. 1, 2024",,38500 38510 38525,
Ohio Medicaid,,,"Jan. 1, 2024",,Hernia,
Ohio Medicaid,,,"Jan. 1, 2024",,49505 49585 49587,
Ohio Medicaid,,,"Jan. 1, 2024",,49651 49652 49655,
Ohio Medicaid,,,"Jan. 1, 2024",,,
Ohio Medicaid,,,"Jan. 1, 2024",,Integumentary system,
Ohio Medicaid,,,"Jan. 1, 2024",,10121,
Ohio Medicaid,,,"Jan. 1, 2024",,11770,
Ohio Medicaid,,,"Jan. 1, 2024",,15240,
Ohio Medicaid,,,"Jan. 1, 2024",,Liver biopsy,
Ohio Medicaid,,,"Jan. 1, 2024",,47000,
Ohio Medicaid,,,"Jan. 1, 2024",,Male genital system,
Ohio Medicaid,,,"Jan. 1, 2024",,54840,
Ohio Medicaid,,,"Jan. 1, 2024",,Miscellaneous,
Ohio Medicaid,,,"Jan. 1, 2024",,20680,
Ohio Medicaid,,,"Jan. 1, 2024",,Musculoskeletal system,
Ohio Medicaid,,,"Jan. 1, 2024",,20552 20553 21012,
Ohio Medicaid,,,"Jan. 1, 2024",,21336 21554 21555,
Ohio Medicaid,,,"Jan. 1, 2024",,21930,
Ohio Medicaid,21336.0,,"Jan. 1, 2024",,21555.0,21554.0
Ohio Medicaid,21930.0,,"Jan. 1, 2024",,22902.0,22514.0
Ohio Medicaid,23071.0,,"Jan. 1, 2024",,24071.0,23075.0
Ohio Medicaid,27337.0,,"Jan. 1, 2024",,28035.0,27632.0
Ohio Medicaid,28041.0,,"Jan. 1, 2024",,28080.0,28060.0
Ohio Medicaid,28104.0,,"Jan. 1, 2024",,28118.0,28110.0
Ohio Medicaid,28124.0,,"Jan. 1, 2024",,28289.0,28285.0
Ohio Medicaid,28296.0,,"Jan. 1, 2024",,28298.0,28297.0
Ohio Medicaid,29835.0,,"Jan. 1, 2024",,29845.0,29840.0
Ohio Medicaid,29848.0,,"Jan. 1, 2024",,29875.0,29861.0
Ohio Medicaid,29877.0,,"Jan. 1, 2024",,29880.0,29879.0
Ohio Medicaid,tpatient hospital nt.),,"Jan. 1, 2024",,Nervous system,
Ohio Medicaid,,,"Jan. 1, 2024",,64561,
Ohio Medicaid,,,"Jan. 1, 2024",,Ophthalmologic,
Ohio Medicaid,,,"Jan. 1, 2024",,65426,
Ohio Medicaid,,,"Jan. 1, 2024",,66761,
Ohio Medicaid,,,"Jan. 1, 2024",,67228,
Ohio Medicaid,,,"Jan. 1, 2024",,Respiratory,
Ohio Medicaid,,,"Jan. 1, 2024",,30802,
Ohio Medicaid,,,"Jan. 1, 2024",,31536 31541 31624,
Ohio Medicaid,,,"Jan. 1, 2024",,Tonsillectomy,
Ohio Medicaid,,,"Jan. 1, 2024",,42820,
Ohio Medicaid,,,"Jan. 1, 2024",,42830,
Ohio Medicaid,,,"Jan. 1, 2024",,Upper and lower,
Ohio Medicaid,,,"Jan. 1, 2024",,43235,
Ohio Medicaid,,,"Jan. 1, 2024",,Urinary,
Ohio Medicaid,,,"Jan. 1, 2024",,52276,
Ohio Medicaid,,,"Jan. 1, 2024",,Urologic,
Ohio Medicaid,,,"Jan. 1, 2024",,50590,
Ohio Medicaid,,,"Jan. 1, 2024",,52224,
Ohio Medicaid,,,"Jan. 1, 2024",,52281,
Ohio Medicaid,,,"Jan. 1, 2024",,52352,
Ohio Medicaid,,,"Jan. 1, 2024",,55040,
Ohio Medicaid,ep apnea procedures surgeries,,"Jan. 1, 2024",,21685,Prior authorization required
Ohio Medicaid,,,"Jan. 1, 2024",,22112,
Ohio Medicaid,,,"Jan. 1, 2024",,22210,
Ohio Medicaid,,,"Jan. 1, 2024",,22224,
Ohio Medicaid,,,"Jan. 1, 2024",,22513,
Ohio Medicaid,,,"Jan. 1, 2024",,22548,
Ohio Medicaid,,,"Jan. 1, 2024",,22558,
Ohio Medicaid,,,"Jan. 1, 2024",,22600,
Ohio Medicaid,,,"Jan. 1, 2024",,22633,
Ohio Medicaid,(cont.),,"Jan. 1, 2024",,22819,
Ohio Medicaid,,,"Jan. 1, 2024",,22852,
Ohio Medicaid,,,"Jan. 1, 2024",,22864,
Ohio Medicaid,,,"Jan. 1, 2024",,63003,
Ohio Medicaid,,,"Jan. 1, 2024",,63015,
Ohio Medicaid,,,"Jan. 1, 2024",,63030,
Ohio Medicaid,,,"Jan. 1, 2024",,63046,
Ohio Medicaid,,,"Jan. 1, 2024",,63056,
Ohio Medicaid,,,"Jan. 1, 2024",,63081,
Ohio Medicaid,,,"Jan. 1, 2024",,63101,
Ohio Medicaid,,,"Jan. 1, 2024",,63173,
Ohio Medicaid,,,"Jan. 1, 2024",,63200,
Ohio Medicaid,,,"Jan. 1, 2024",,63265,
Ohio Medicaid,,,"Jan. 1, 2024",,63271,
Ohio Medicaid,,,"Jan. 1, 2024",,63301,
Ohio Medicaid,,,"Jan. 1, 2024",,63305 0095T,
Ohio Medicaid,Stimulators ; Implantation of a device that sends electrical impulses,,"Jan. 1, 2024",,E0747,Prior authorization required
Ohio Medicaid,,,"Jan. 1, 2024",,,
Ohio Medicaid,,,"Jan. 1, 2024",,43648,
Ohio Medicaid,,,"Jan. 1, 2024",,61864,
Ohio Medicaid,,,"Jan. 1, 2024",,61886,
Ohio Medicaid,,,"Jan. 1, 2024",,64553,
Ohio Medicaid,,,"Jan. 1, 2024",,64590,
Ohio Medicaid,,,"Jan. 1, 2024",,0315T,
Ohio Medicaid,,,"Jan. 1, 2024",,L8682,
Ohio Medicaid,,,"Jan. 1, 2024",,L8688,
Ohio Medicaid,Transplants,,"Jan. 1, 2024",,"For transplant and CAR T-cell therapy services, including Abe (Idecaptagene Cicleucel), Breyanzi®, (Lisocabtagene Maralue Carvykti™ (ciltacabtagene autoleucel), Kymriah™ (tisagenlecl Tecartus™ (brexucabtagene autoleucel) and Yescarta™ (axicabtagene ciloleucel), please call the UnitedHealthcare Community and State Transplant Case Management team at 888-936-7246. Or you can call the number on the back of the member's health plan ID card.",Prior authorization required
Ohio Medicaid,33933,,"Jan. 1, 2024",,33940,33935
Ohio Medicaid,33945,,"Jan. 1, 2024",,38209,38208
Ohio Medicaid,38212,,"Jan. 1, 2024",,38214,38213
Ohio Medicaid,38232*,,"Jan. 1, 2024",,38241,38240
Ohio Medicaid,44132,,"Jan. 1, 2024",,44135,44133
Ohio Medicaid,44137,,"Jan. 1, 2024",,44720,44715
Ohio Medicaid,47133,,"Jan. 1, 2024",,47140,47135
Ohio Medicaid,47142,,"Jan. 1, 2024",,47144,47143
Ohio Medicaid,A7146,,"Jan. 1, 2024",,48551,A7147
Ohio Medicaid,,,"Jan. 1, 2024",,50370,
Ohio Medicaid,,,"Jan. 1, 2024",,0537T,
Ohio Medicaid,,,"Jan. 1, 2024",,J9999,
Ohio Medicaid,,,"Jan. 1, 2024",,Q2054,
Ohio Medicaid,,,"Jan. 1, 2024",,*Code 38232,
Ohio Medicaid,,,"Jan. 1, 2024",,diagnosis. Unclassified,
Ohio Medicaid,,,"Jan. 1, 2024",,C9399,
Ohio Medicaid,,,"Jan. 1, 2024",,"*Casgevy,",
Ohio Medicaid,Vein procedures,,"Jan. 1, 2024",,36473,Prior authorization required
Ohio Medicaid,Ventricular assist devices (VAD) A mechanical pump that,,"Jan. 1, 2024",,,Prior authorization required
Ohio Medicaid,takes over the function of the ventricle of,,"Jan. 1, 2024",,33927,
Ohio Medicaid,damaged the heart and restores normal blood flow,,"Jan. 1, 2024",,33979,33976
Ohio Medicaid,,,"Jan. 1, 2024",,33983,
